,!=,(,),*,+,++,",",-,--,.,:,:=,;,<,<=,=,==,>,>=,chiqap,chiqaq,chiqi,hatun_ruray,id,imprimiy,kutipay,mana,mana_chiqaq,mana_sichus,num,para,qillqa,ruray,sichus,texto,utaq,var,wan,yupay,{,},$
Instrucciones,Instruccion Instrucciones,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon
operaciones_matematicas,termino expresion_tail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InicializacionOpt,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,= opciones,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon
logical_expression,,,,,,,,,,,,,,,,,,,,,,,,,,,mana ( expression ),,,,,,,,,,,,,,,
Principal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ruray hatun_ruray ( ) Block,,,,,,,,,
ParamList,Param MoreParams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
argumentosFuncion,opciones MasArgumentosFuncion,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon
Instruccion,DeclaracionVariables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIQI_TOKEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,num . num,,,,,,,,,,,,
CHIQAP_TOKEN,,,,,,,,,,,,,,,,,,,,,chiqaq,,,,,,,mana_chiqaq,,,,,,,,,,,,,,
OPERADOR_ASIGNACION,,,,,,,,,,,,:=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DefinitionList,FunctionDef DefinitionList,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon
OPERADOR_LOGICO_UTAQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,utaq,,,,,,
Retorno,,,,,,,,,,,,,,,,,,,,,,,,,,kutipay IDENTIFICADOR_TOKEN ;,,,,,,,,,,,,,,,,
LoopInitialization,IDENTIFICADOR_TOKEN := asignacion_bucle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPERADOR_LOGICO_WAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wan,,,,
Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{ Instrucciones },,
argumentosELseIf,epsilon,( opciones ),epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon
YUPAY_TOKEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,num,,,,,,,,,,,,
while,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,para ( opciones ) Block,,,,,,,,,,,
ParamListOpt,ParamList,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon
LoopUpdate,operaciones_matematicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDENTIFICADOR_TOKEN,,,,,,,,,,,,,,,,,,,,,,,,id,,,,,,,,,,,,,,,,,,
Bucle,bucle_infinito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FunctionDef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ruray IDENTIFICADOR_TOKEN ( ParamListOpt ) TypeOpt Block,,,,,,,,,
incrementos,IDENTIFICADOR_TOKEN --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MasArgumentosFuncion,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,", opciones MasArgumentosFuncion",epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon
unidad,valor,( operaciones_matematicas ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opciones_operador_comparacion,!=,,,,,,,,,,,,,<,<=,,==,>,>=,,,,,,,,,,,,,,,,,,,,,,,
Program,DefinitionList Principal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,,,,,,,,,,,,,,,,,,,,chiqap,,chiqi,,,,,,,,,,qillqa,,,,,,,yupay,,,
TypeOpt,Type,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon
asignacion_bucle,datos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeclaracionVariables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,var ListaIdentificadores Type InicializacionOpt ;,,,,,
factor,unidad,,,,,,,- unidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estructura_If,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sichus ( opciones ) Block Else_opcional,,,,,,,,
opciones_operador_logico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,utaq,,wan,,,,
QILLQA_TOKEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,texto,,,,,,,
ArgumentPrint,opciones MasArgumentosPrint,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon
OPERADOR_LOGICO_MANA,,,,,,,,,,,,,,,,,,,,,,,,,,,mana,,,,,,,,,,,,,,,
comparacion,logical_expression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
expression_conti,opciones_operador_logico expression,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon
funcion,IDENTIFICADOR_TOKEN ( argumentosFuncion ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
termino,factor termino_tail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
expression,compa expression_conti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compa,opciones opciones_operador_comparacion opciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MoreParams,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,", Param MoreParams",epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon
valor,funcion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datos,IDENTIFICADOR_TOKEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Param,Type : IDENTIFICADOR_TOKEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
for,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,para ( LoopInitialization ; opciones ; LoopUpdate ) Block,,,,,,,,,,,
bucle_infinito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,para Block,,,,,,,,,,,
MasArgumentosPrint,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,", opciones MasArgumentosPrint",epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon
termino_tail,,,,* factor termino_tail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Else_opcional,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,mana_sichus argumentosELseIf Block,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon
expresion_tail,,,,,+ termino expresion_tail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opciones,funcion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ListaIdentificadores,IDENTIFICADOR_TOKEN MasIdentificadores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PrintStmt,,,,,,,,,,,,,,,,,,,,,,,,,imprimiy ( ArgumentPrint ) ;,,,,,,,,,,,,,,,,,
MasIdentificadores,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,", IDENTIFICADOR_TOKEN MasIdentificadores",epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon
